"count","date","ProvinceState","CountryRegion","Lat","Long","oztime","statetime","int","slope","max","min","incr","double","state"
436,"21/03","New South Wales","Australia","-33.8688","151.2093",50,18,2.66421607865107,0.190275376492089,1670.87127505846,116.424759139698,0.20958264242376,3.64286327184728,"NSW"
533,"22/03","New South Wales","Australia","-33.8688","151.2093",51,19,2.70283818652524,0.188027605974303,1981.39405049519,142.475414958445,0.20686683162448,3.68641177431507,"NSW"
669,"23/03","New South Wales","Australia","-33.8688","151.2093",52,20,2.68418684167458,0.189805301806495,2462.49413286363,172.717232866837,0.20901418186335,3.65188524220784,"NSW"
818,"24/03","New South Wales","Australia","-33.8688","151.2093",53,21,2.62078100802013,0.193711344939334,3117.22563705573,207.004356134261,0.213745878495466,3.57824773131911,"NSW"
1029,"25/03","New South Wales","Australia","-33.8688","151.2093",54,22,2.48723755881928,0.201157933376519,4108.51786941358,245.821720421595,0.222817880330495,3.44578595000049,"NSW"
1219,"26/03","New South Wales","Australia","-33.8688","151.2093",55,23,2.40507156810879,0.204880446700242,5174.43259744251,293.876236761561,0.227378319063279,3.38317878413297,"NSW"
1405,"27/03","New South Wales","Australia","-33.8688","151.2093",56,24,2.52727786367182,0.198333344370701,5858.28125973483,364.652453571638,0.219368795805863,3.49485953942469,"NSW"
1617,"28/03","New South Wales","Australia","-33.8688","151.2093",57,25,2.80434946226926,0.185125896770951,6175.70397433852,462.485684548728,0.20336993097996,3.74419350641985,"NSW"
1791,"29/03","New South Wales","Australia","-33.8688","151.2093",58,26,3.19550219970114,0.167400938311996,6122.54515464915,587.64323915515,0.182228170865788,4.14064095189287,"NSW"
2032,"30/03","New South Wales","Australia","-33.8688","151.2093",59,27,3.5839090496068,0.150824500465089,6075.02914312719,735.388594064905,0.162792570618375,4.59572004828477,"NSW"
2182,"31/03","New South Wales","Australia","-33.8688","151.2093",60,28,4.03359352212441,0.132319016766119,5795.04840679172,908.952533291568,0.141472410025479,5.23845473991936,"NSW"
2298,"01/04","New South Wales","Australia","-33.8688","151.2093",61,29,4.5469276000719,0.112029201725851,5323.99298663303,1109.39493051896,0.118545523627868,6.18720092513165,"NSW"
2298,"02/04","New South Wales","Australia","-33.8688","151.2093",62,30,5.11074238400749,0.0903286106727343,4688.65471385839,1323.85131385947,0.0945339001363299,7.67361720054853,"NSW"
2389,"03/04","New South Wales","Australia","-33.8688","151.2093",63,31,5.62049371512792,0.0715547393971562,4186.30520909556,1537.33774231761,0.0741769488906319,9.68694996864866,"NSW"
2493,"04/04","New South Wales","Australia","-33.8688","151.2093",64,32,6.06071215984583,0.0560855055219155,3820.15728638968,1742.10563892134,0.057688118044797,12.3587578307393,"NSW"
2580,"05/04","New South Wales","Australia","-33.8688","151.2093",65,33,6.39995849451359,0.0446438881442292,3589.30554147112,1921.18908083873,0.0456554233048179,15.5261382772178,"NSW"
2637,"06/04","New South Wales","Australia","-33.8688","151.2093",66,34,6.7032663164607,0.0348035369651003,3395.51707083757,2085.91276312993,0.0354162677936036,19.915998229002,"NSW"
102,"23/03","New Zealand","Australia","-40.9006","174.886",52,6,2.62084917216835,0.355088474609852,1389.91704167631,9.63845376136365,0.426306840640508,1.9520407732792,"NZ"
155,"24/03","New Zealand","Australia","-40.9006","174.886",53,7,2.65245335451117,0.345114286446374,1779.43889268141,14.1888061510074,0.412151300199522,2.00845693088295,"NZ"
205,"25/03","New Zealand","Australia","-40.9006","174.886",54,8,2.74298282357085,0.326244588463064,2072.79175290259,21.5252660876702,0.38575426693215,2.1246243005144,"NZ"
283,"26/03","New Zealand","Australia","-40.9006","174.886",55,9,2.78781218596453,0.318665438808625,2661.005151501,30.7270404575353,0.3752911288899,2.17515643726967,"NZ"
368,"27/03","New Zealand","Australia","-40.9006","174.886",56,10,2.87447398443239,0.30567521194437,3200.14879929582,44.322817858845,0.357541321732146,2.26759368596133,"NZ"
